Code	SeniorCollector	SeniorCollector_nom	SeniorCollector_prenom	Code2	Comment	Batch
AAT	Abbott, A. T. D.	Abbott	A. T. D.	AAT	NA	1
AJR	Abbott, John Richard	Abbott	John Richard	AJR	NA	2
AT	Abbott, Tony	Abbott	Tony	AT	NA	NA
ARD	Abdallah, Raphael D.	Abdallah	Raphael D.	ARD	NA	2
AK	Abdul-Salim, Kobinah	Abdul-Salim	Kobinah	AK	NA	2
AYS	Abeid, Yahya Shaaban	Abeid	Yahya Shaaban	AYS	NA	2
AJP	Abraham, Jean Prosper	Abraham	Jean Prosper	AJP	NA	1
A	Acevedo-Rodríguez, Pedro	Acevedo-Rodríguez	Pedro	A	NA	2
ALG	Acosta Vargas, Luis Guillermo	Acosta Vargas	Luis Guillermo	ALG	NA	2
AA	Adalardo de Oliveira, Alexandre	Adalardo de Oliveira	Alexandre	AA	NA	2
AFJ	Adamainty, Jean-Florent	Adamainty	Jean-Florent	AFJ	NA	NA
ACD	Adams, Charles Dennis	Adams	Charles Dennis	ACD	NA	2
AKR	Afzelius, Karl Rudolf	Afzelius	Karl Rudolf	AKR	NA	1
AGUA	Aguayo, Antonio	Aguayo	Antonio	AGUA	NA	2
ARA	Aguilar Fernández, Reinaldo Alexis de Jesús	Aguilar Fernández	Reinaldo Alexis de Jesús	ARA	NA	2
AMG	Águilar M., Gabriel	Águilar M.	Gabriel	AMG	NA	2
ARM	Aguilar R., M.	Aguilar R.	M.	ARM	NA	2
AAL	Aké Assi, Laurent	Aké Assi	Laurent	AAL	NA	1
ABW	Albuquerque, Byron Wilson Pereira de	Albuquerque	Byron Wilson Pereira de	ABW	NA	2
AL	Alencar, Lúcia	Alencar	Lúcia	AL	NA	2
AAC	Alleizette, Aymar Charles d'	Alleizette	Aymar Charles d'	AAC	NA	1
AC	Allen, Cyril	Allen	Cyril	AC	NA	2
APH	Allen, Paul Hamilton	Allen	Paul Hamilton	APH	NA	2
LA	Allorge, Lucile	Allorge	Lucile	LA	NA	1
F	Almeda, Frank, Jr.	Almeda	Frank	F	NA	2
AAS	Altamirano Azurduy, Saúl	Altamirano Azurduy	Saúl	AAS	NA	2
AMI	Alvarado Flores, Miriam Icela	Alvarado Flores	Miriam Icela	AMI	NA	2
AMD	Álvarez M., Demetrio	Álvarez M.	Demetrio	AMD	NA	2
AAB	Alvarez, Aída B.	Alvarez	Aída B.	AAB	NA	2
ALA	Ambalabe, Shade House	Ambalabe	Shade House	ALA	NA	NA
AMB	Ambatovy, Shade House	Ambatovy	Shade House	AMB	NA	NA
AMY	Ammann, Morgane Y.	Ammann	Morgane Y.	AMY	NA	1
AAMA	Amorim, *	Amorim	NA	AAMA	NA	2
AAMA	Amorim, André Márcio A.	Amorim	André Márcio A.	AAMA	NA	2
AFM	Amsini, Fidèle M.	Amsini	Fidèle M.	AFM	NA	2
AW	Anderson, W.	Anderson	W.	AW	NA	2
AWB	Anderson, William (Bill) Russell	Anderson	William (Bill) Russell	AWB	NA	2
ATJ	Andonahary, Tahinarivony Jacquis	Andonahary	Tahinarivony Jacquis	ATJ	NA	NA
ATJ	Tahinarivony, Andonahary Jacquis	Andonahary	Tahinarivony Jacquis	ATJ	NA	NA
ALBO	Andriamaharoa, Hubert	Andriamaharoa	Hubert	ALBO	NA	NA
AMM	Andriamahay, M.	Andriamahay	M.	AMM	NA	1
ALD	Andriamahefarivo, Lalao	Andriamahefarivo	Lalao	ALD	NA	NA
AAF	Andriamanantena, Flavien Antonio	Andriamanantena	Flavien Antonio	AAF	NA	NA
ASR	Andriambololonera, Sylvie	Andriambololonera	Sylvie Renée	ASR	NA	NA
ASR	Andriambololonera, Sylvie Renée	Andriambololonera	Sylvie Renée	ASR	NA	1
ANS	Andriamiadana, Stéphano	Andriamiadana	Stéphano	ANS	NA	NA
DRD	Andriamiarimanana, Donatien	Andriamiarimanana	Donatien	DRD	NA	NA
HNR	Andriamiarinoro, Honoré	Andriamiarinoro	Honoré	HNR	NA	NA
ALR	Andriamiarisoa, Lala Roger	Andriamiarisoa	Lala Roger	ALR	NA	NA
ATH	Andriamihajarivo, Tefy Harison	Andriamihajarivo	Tefy Harison	ATH	NA	NA
AD	Andriamiharimanana, Donatien	Andriamiharimanana	Donatien	AD	NA	1
ARF	Andriamparany, Rivolala Fanomezantsoa	Andriamparany	Rivolala Fanomezantsoa	ARF	NA	NA
AB	Andrianaivoravelona, B.	Andrianaivoravelona	B.	AB	NA	2
OA	Andrianantoanina, Olivier	Andrianantoanina	Olivier	OA	NA	NA
AM	Andrianarisata, Michèle	Andrianarisata	Michèle	AM	NA	NA
SAF	Andrianarivelo, Sandratra Aina Fanantenana	Andrianarivelo	Sandratra Aina Fanantenana	SAF	NA	NA
SFR	Andrianarivelo, Soafara	Andrianarivelo	Soafara Niaina	SFR	NA	NA
SFR	Andrianarivelo, Soafara Niaina	Andrianarivelo	Soafara Niaina	SFR	NA	NA
RVO	Andrianasolo, Rivoniony	Andrianasolo	Rivoniony	RVO	NA	NA
HA	Andrianirina, Herson	Andrianirina	Herson	HA	NA	1
ANM	Andrianjafy, Naina Mamisoa	Andrianjafy	Naina Mamisoa	ANM	NA	NA
AJ	Andriantiana, Jacky	Andriantiana	Jacky	AJ	NA	2
