Code	SeniorCollector_nom	SeniorCollector_prenom	SeniorCollector	Code2
AAF	Andriamanantena	Flavien Antonio	Andriamanantena, Flavien Antonio	NA
AF	Andriatsiferana	Félix	Andriatsiferana, Félix	NA
AFJ	Adamainty	Jean-Florent	Adamainty, Jean-Florent	NA
AFW	Westerhaus	Andoni F.	Westerhaus, Andoni F.	NA
AJL	Andriantiana	Jacky Lucien	Andriantiana, Jacky Lucien	NA
ALA	Ambalabe	Shade House	Ambalabe, Shade House	NA
ALBO	Andriamaharoa	Hubert	Andriamaharoa, Hubert	NA
ALD	Andriamahefarivo	Lalao	Andriamahefarivo, Lalao	NA
ALH	Lehavana	Adolphe	Lehavana, Adolphe	NA
ALR	Andriamiarisoa	Lala Roger	Andriamiarisoa, Lala Roger	NA
AM	Andrianarisata	Michèle	Andrianarisata, Michèle	NA
AMA	Atalahy	Anselme Marcel	Atalahy, Anselme Marcel	NA
AMB	Ambatovy	Shade House	Ambatovy, Shade House	NA
AMR	Ramahefaharivelo	Ando Malala	Ramahefaharivelo, Ando Malala	NA
ANM	Andrianjafy	Naina Mamisoa	Andrianjafy, Naina Mamisoa	NA
ANS	Andriamiadana	Stéphano	Andriamiadana, Stéphano	NA
ANT	Antananarivo	Shade House	Antananarivo, Shade House	NA
AP	Antilahimena	Patrice	Antilahimena, Patrice	NA
ARF	Andriamparany	Rivolala Fanomezantsoa	Andriamparany, Rivolala Fanomezantsoa	NA
ASH	Andriantsalohimisantatra	Andon'ny Avo Hermin Euléandrah	Andriantsalohimisantatra, Andon'ny Avo Hermin Euléandrah	NA
ASR	Andriambololonera	Sylvie	Andriambololonera, Sylvie	NA
ATH	Andriamihajarivo	Tefy Harison	Andriamihajarivo, Tefy Harison	NA
ATJ	Andonahary	Tahinarivony Jacquis	Andonahary, Tahinarivony Jacquis	NA
ATR	Rabefarihy	Andriantsoa Tahiry	Rabefarihy, Andriantsoa Tahiry	NA
BD	Berry	Paul	Berry, Paul	NA
BEN	Rakotonirina	Benja	Rakotonirina, Benja	NA
BFL	Rakotozafy	Brice Funk Lee	Rakotozafy, Brice Funk Lee	NA
BHL	Bemita	Harson Landry	Bemita, Harson Landry	NA
BHV	Behevitra	Laurent	Behevitra, Laurent	NA
BJT	Be	Jullet	Be, Jullet	NA
BL	Lewis	Beverley	Lewis, Beverley	NA
BM	Randriambololona	Michel Bien-Aimé	Randriambololona, Michel Bien-Aimé	NA
CB	Birkinshaw	Christopher	Birkinshaw, Christopher Robert	NA
CB	Birkinshaw	Christopher	Birkinshaw, Christopher	NA
CCL	Claude	Christian	Claude, Christian	NA
