ID_Lab	Genus	Species	DGroup	data_UCE	data_wanatomy	data_NIRS_hw	data_NIRS_sw	data_NIRS_core_sw	data_NIRS_core_hw	data_NIRS_block_sw	data_NIRS_block_hw	data_massspec	silicagel_leaf	voucher_leaf	heartwood_souche_ETH	heartwood_tronc_ETH	heartwood_carotte_ETH	heartwood_ETH	Bloc_ESSA	Core_ESSA	Heartwood_ESSA	Sapwood_ESSA	Bio01_temp.annual	Bio02_temp.diurnal	Bio03_isothermality	Bio04_temp.seasonality	Bio05_temp.warmestM	Bio06_temp.coldestM	Bio07_temp.range	Bio08_temp.wettestQ	Bio09_temp.driestQ	Bio10_temp.warmestQ	Bio11_temp.coldestQ	Bio12_prec.annual	Bio13_prec.wettestM	Bio14_prec.driestM	Bio15_prec.seasonality	Bio16_prec.wettestQ	Bio17_prec.driestQ	Bio18_prec.warmestQ	Bio19_prec.coldestQ	elevation	geol	eco2017
ALH0285	Dalbergia	emirnensis	incertae_sedis	NA	NA	0	0	NA	NA	NA	NA	NA	0	0	NA	NA	NA	0	NA	NA	NA	NA	180	88	556	2104	253	95	158	200	148	201	146	1484.27181983332	355.998109807842	4	107	1032.19618458776	15	793.27560021764	22	144540.315683982	4	Madagascar subhumid forests
ALH0413	Dalbergia	louvelii	Maritima	NA	NA	0	0	NA	NA	NA	NA	NA	0	0	NA	NA	NA	0	NA	NA	NA	NA	241	35	377	2126	285	191	94	264	230	267	210	2662.59391423941	388	97	43	1138	291	1071	513	1422.31597283251	18	Madagascar humid forests
ALH0876	Dalbergia	aff._normandii_PAL	Maritima	NA	NA	0	0	NA	NA	NA	NA	NA	0	0	NA	NA	NA	0	NA	NA	NA	NA	244	30	348	2027	287	200	87	267	232	269	215	3077.52331040582	409	96.7971830265071	42	1197.68520323591	297.797183026507	1131.0409241434	607.685203235915	1788.74292044977	18	Madagascar humid forests
ALH0902	Dalbergia	aff._normandii_PAL	Maritima	NA	NA	0	0	NA	NA	NA	NA	NA	0	0	NA	NA	NA	0	NA	NA	NA	NA	244	30	348	2026	287	200	87	267	232	269	215	3103.91581981935	412.390695370582	97	42	1208.39069537058	299.843855761676	1141.84385576168	612.843855761676	1860.58020809155	18	Madagascar humid forests
ALH1109	Dalbergia	aff._chapelieri_NE	Chapelieri	NA	NA	0	0	NA	NA	NA	NA	NA	0	1	NA	NA	NA	0	NA	NA	NA	NA	244	30	345	2019	286	200	86	267	231	269	215	3232.53269126149	430.964657924169	101	42	1261.56803333732	312	1189	638	3966.75373522938	18	Madagascar humid forests
ALH1110	Dalbergia	aff._normandii_PAL	Maritima	NA	NA	0	0	NA	NA	NA	NA	NA	0	0	NA	NA	NA	0	NA	NA	NA	NA	244	30	345	2019	286	200	86	267	231	269	215	3232.53269126149	430.964657924169	101	42	1261.56803333732	312	1189	638	3966.75373522938	18	Madagascar humid forests
ALH1114	Diospyros	gracilipes	NA	NA	NA	0	0	NA	NA	NA	NA	NA	0	0	NA	NA	NA	0	NA	NA	NA	NA	245	30	348	2029	287	200	87	267.613063421197	232	270	215	3088.01070089909	411	97	42	1203.16090028779	298	1135.98185496529	609.160900287793	938.551329363014	18	Madagascar humid forests
ALH1115	Diospyros	pruinosa	NA	NA	NA	0	0	NA	NA	NA	NA	NA	0	0	NA	NA	NA	0	NA	NA	NA	NA	245	30	350	2033.33940570909	287	200	87	267.942618376234	232	270	215	3065.42623957025	407.95978651168	96.2820240853259	42	1192.90240488791	297.282024085326	1124.22464246156	605.282024085326	1078.5554420494	18	Madagascar humid forests
ALH1118	Diospyros	sp.	NA	NA	NA	0	0	NA	NA	NA	NA	NA	0	0	NA	NA	NA	0	NA	NA	NA	NA	244.007672073123	30	349	2029.97799846997	287	200	87	267.007672073123	232	270	215	3124.38620960938	415.970326396846	98	42	1217.71177764283	301.970326396846	1148.71177764283	616.711777642827	968.181057391741	18	Madagascar humid forests
ALH1131	Dalbergia	baronii	Baronii	NA	NA	0	0	NA	NA	NA	NA	NA	0	0	NA	NA	NA	0	NA	NA	NA	NA	244.120919236029	30	349	2029	287	200	87	267	232	269.120919236029	215	3058.58756234244	406	96	42	1189.87908076397	296	1123.87908076397	604	1287.90355980944	18	Madagascar humid forests
ALH1143	Dalbergia	notseen_normandii	Maritima	NA	NA	0	0	NA	NA	NA	NA	NA	0	0	NA	NA	NA	0	NA	NA	NA	NA	245	29	338.888430379004	2005	287	202	85	268	233	270	216	3142.3708745752	421	98	43	1234	300	1160	619	610.736292909368	18	Madagascar humid forests
ALH1144	Dalbergia	aff._normandii_PAL	Maritima	NA	NA	0	0	NA	NA	NA	NA	NA	0	0	NA	NA	NA	0	NA	NA	NA	NA	244	30	349	2029	287	200	87	267	232	269	215	3061.95900571259	407	96	42	1191.96564530573	296.96663132391	1124.96564530573	604.96663132391	1433.77783616518	18	Madagascar humid forests
ALH1145	Dalbergia	baronii	Baronii	NA	NA	0	0	NA	NA	NA	NA	NA	0	0	NA	NA	NA	0	NA	NA	NA	NA	245	31	350	2034	287	200	87	267	232	270	215	3088.81249956039	410.95708555506	97	42	1201.27832502168	299.95708555506	1131.89169560548	609.957085555061	989.090160436126	18	Madagascar humid forests
ALH1146	Dalbergia	notseen_madagascariensis_antongilensis	Baronii	NA	NA	0	0	NA	NA	NA	NA	NA	0	0	NA	NA	NA	0	NA	NA	NA	NA	245	27	329	1980	286	203	83	268	233	270	217	3144.9142270876	421.754676386476	98	43	1236.9571135438	299	1167.75467638648	613	1128.06965574974	18	NA
ALH1147	Dalbergia	notseen_baronii	Baronii	NA	NA	0	0	NA	NA	NA	NA	NA	0	0	NA	NA	NA	0	NA	NA	NA	NA	245	31	350	2034	287	200	87	267	232	270	215	3088.81249956039	410.95708555506	97	42	1201.27832502168	299.95708555506	1131.89169560548	609.957085555061	989.090160436126	18	Madagascar humid forests
ALH1149	Dalbergia	notseen_maritima	Maritima	NA	NA	0	0	NA	NA	NA	NA	NA	0	0	NA	NA	NA	0	NA	NA	NA	NA	245	31	350	2034	287	200	87	267	232	270	215	3088.81249956039	410.95708555506	97	42	1201.27832502168	299.95708555506	1131.89169560548	609.957085555061	989.090160436126	18	Madagascar humid forests
