Code	SeniorCollector_nom	SeniorCollector_prenom	SeniorCollector	Code2
AAF	Andriamanantena	Flavien Antonio	Andriamanantena, Flavien Antonio	
AF	Andriatsiferana	Félix	Andriatsiferana, Félix	
AFJ	Adamainty	Jean-Florent	Adamainty, Jean-Florent	
AFW	Westerhaus	Andoni F.	Westerhaus, Andoni F.	
AJL	Andriantiana	Jacky Lucien	Andriantiana, Jacky Lucien	
ALA	Ambalabe	Shade House	Ambalabe, Shade House	
ALBO	Andriamaharoa 	Hubert	Andriamaharoa, Hubert	
ALD	Andriamahefarivo	Lalao	Andriamahefarivo, Lalao	
ALH	Lehavana	Adolphe	Lehavana, Adolphe	
ALR	Andriamiarisoa	Lala Roger	Andriamiarisoa, Lala Roger	
AM	Andrianarisata	Michèle	Andrianarisata, Michèle	
AMA	Atalahy	Anselme Marcel	Atalahy, Anselme Marcel	
AMB	Ambatovy	Shade House	Ambatovy, Shade House	
AMR	Ramahefaharivelo	Ando Malala	Ramahefaharivelo, Ando Malala	
ANM	Andrianjafy	Naina Mamisoa	Andrianjafy, Naina Mamisoa	
ANS	Andriamiadana	Stéphano	Andriamiadana, Stéphano	
ANT	Antananarivo	Shade House	Antananarivo, Shade House	
AP	Antilahimena	Patrice	Antilahimena, Patrice	
ARF	Andriamparany	Rivolala Fanomezantsoa	Andriamparany, Rivolala Fanomezantsoa	
ASH	Andriantsalohimisantatra	Andon'ny Avo Hermin Euléandrah	Andriantsalohimisantatra, Andon'ny Avo Hermin Euléandrah	
ASR	Andriambololonera	Sylvie	Andriambololonera, Sylvie	
ATH	Andriamihajarivo	Tefy Harison	Andriamihajarivo, Tefy Harison	
ATJ	Andonahary	Tahinarivony Jacquis	Andonahary, Tahinarivony Jacquis	
ATR	Rabefarihy	Andriantsoa Tahiry	Rabefarihy, Andriantsoa Tahiry	
BD	Berry	Paul	Berry, Paul	
BEN	Rakotonirina	Benja	Rakotonirina, Benja	
BFL	Rakotozafy 	Brice Funk Lee 	Rakotozafy, Brice Funk Lee 	
BHL	Bemita	Harson Landry	Bemita, Harson Landry	
BHV	Behevitra	Laurent	Behevitra, Laurent	
BJT	Be	Jullet	Be, Jullet	
BL	Lewis	Beverley	Lewis, Beverley	
BM	Randriambololona	Michel Bien-Aimé	Randriambololona, Michel Bien-Aimé	
CB	Birkinshaw	Christopher	Birkinshaw, Christopher Robert	
CB	Birkinshaw	Christopher	Birkinshaw, Christopher	
CCL	Claude	Christian	Claude, Christian	
CHW	Hong Wa	Cynthia	Hong Wa, Cynthia	
CKS	Skema 	Cindy	Skema, Cindy	
CLF	Frasier	Cynthia	Frasier, Cynthia	
CR	Rakotovao	Charles	Rakotovao, Charles	
D	Daly	Douglas	Daly, Douglas	
DB	Baum	David 	Baum, David 	
DRD	Andriamiarimanana	Donatien	Andriamiarimanana, Donatien	
EME	Emeline		Emeline	
FAR	Rajaonary	Fano A.	Rajaonary, Fano A.	
FERM	Ferm	Julia	Ferm, Julia	
FLN	Faliniaina	Lucien	Faliniaina, Lucien	
FMB	Randriantafika	Faly	Randriantafika, Faly	
FRB	Faranirina	Lantoarisoa	Faranirina, Lantoarisoa	
GES	Schatz	George	Schatz, George	
GILLESPIE	Gillespie 	Lynn 	Gillespie, Lynn 	
GM	Mathieu	Guido	Mathieu, Guido	
GM	Rahajasoa	Grace Monique	Rahajasoa, Grace Monique	
GRV	Gervais		Gervais	
GTR	Guittou	Riri	Guittou, Riri	
HNR	Andriamiarinoro	Honoré	Andriamiarinoro, Honoré	
HRS	Ravaomanalina	Bako Harisoa	Ravaomanalina, Bako Harisoa	
HS	Sauquet	Hervé	Sauquet, Hervé	
HSC	Hery (?)	Soanary Claude	Hery (?), Soanary Claude	
IB	Iambana	Bernard	Iambana, Bernard	
IL	Luino	Iacopo	Luino, Iacopo	
J	Raharilala	Jeannine	Raharilala, Jeannine	
JA	Aridy	Jao	Aridy, Jao	
JCB	Bradford	Jason C.	Bradford, Jason C.	
JFR	Razafitsalama	Lalao Jeremi	Razafitsalama, Lalao Jeremi	RLJ
JFR	Razafitsalama	Lalao Jeremi	Razafitsalama, Jérémie Lalao	
JJM	Morawetz	Jeffery	Morawetz, Jeffery	
JJW	Tombonirina	Jean Jacques Wira	Tombonirina, Jean Jacques Wira	
JL	Mora	Jean-Luc	Mora, Jean-Luc	
JM	Miller	Jim	Miller, Jim	
JNI	Raharimampionona	Jeannie	Raharimampionona, Jeannie	
JTA	Josso Tianarifidy 	Angelos Stanislas	Josso Tianarifidy, Angelos Stanislas	
KA	Kotozafy	Alphonse	Kotozafy, Alphonse	
KAD	Karatra	Aimé Dochard	Karatra, Aimé Dochard	
KAD	Karatra	Aimée Dochard	Karatra, Aimée Dochard	
LAIVAO	Laivao	Michel Omer	Laivao, Michel Omer	
LG	Gautier	Laurent Vincent	Gautier, Laurent Vincent	
LG	Gautier	Laurent	Gautier, Laurent	
LN	Lachezar	Nikolov	Lachezar, Nikolov	
LPB	Leopold	Jean Berthieu	Leopold, Jean Berthieu	
LR	Laha	Rolland	Laha, Rolland	
LRK	Letsara 	Rockiman	Letsara, Rockiman	
LRZ	Ludovic	Reza	Ludovic, Reza	
LV	Vary	Laura	Vary, Laura	
MAE	Ratolojanahary	Maherisoa	Ratolojanahary, Maherisoa	
MAR	Rabarimanarivo	Marina	Rabarimanarivo, Marina	
MC	Callmander	Martin	Callmander, Martin	
MCP	McPherson	Gordon	McPherson, Gordon	
MER	Rahelivololona	Marie Elisette	Rahelivololona, Marie Elisette	
MIC	Miandrimanana	Cyprien	Miandrimanana, Cyprien	
MM	Moeller	Michael	Moeller, Michael	
MNH	Manjakahery	Herisoa Nantena	Manjakahery, Herisoa Nantena	
MNV	Manjato	Nadiah Vololomboahangy	Manjato, Nadiah Vololomboahangy	
MR	Martial		Martial	
MZ	Zjhra	Michelle	Zjhra, Michelle	
NAT	Ramanantenasoa	Nantenaina	Ramanantenasoa, Nantenaina	
NH	Helme	Nick	Helme, Nick	
NM	Messmer	Nathalie	Messmer, Nathalie	
NMR	NA	NA	NA	
NSR	Rasoanaivo 	Niry	Rasoanaivo, Niry	
NW	Wilding	Nicholas	Wilding, Nicholas	
NZM	Nombanjanahary	Zoherinjina Minosoa	Nombanjanahary, Zoherinjina Minosoa	
OA	Andrianantoanina	Olivier	Andrianantoanina, Olivier	
OP	Odile	Poncy	Odile, Poncy	
PBP	Phillipson	Peter B.	Phillipson, Peter B.	
PDB	De Block	Petra	De Block, Petra	
PJ	Rakotomalaza	Pierre Jules	Rakotomalaza, Pierre Jules	
PPL	Lowry	Pete	Lowry, Pete	
PR	Ranirison	Patrick	Ranirison, Patrick	
R	Rabevohitra	Raymond	Rabevohitra, Raymond	
RA	Randrianasolo	Armand	Randrianasolo, Armand	
