Name	DM_SP	Images	Group	ZT_Species	Alternative (old) names	Accepted	Acceptance Notes	Citation	Publication status	Recognised by  B/R = Bosser & Rabe. C/W/P = Crameri/Wilding/Phillipson	Ist Author	MadCat treatment	Growth form	Manuscript	Manuscript status	TYPE	Description revised and updated	Desiderata	General sites for desiderata	MBG site for desiderata	No. of specimens MadCat	Max height (m)	Height Ref.	Max DBH (cm)	DBH Ref.	Description	Key Specimens	Taxonomy Stable	Appeared Red List	Year of Last Conservation Assessment	Last Conservation Assessment	Criteria	Preliminary Assessment (publ. or in prep.)	Status of preliminary assessments	Criteria for assessment	Priority for assessment	Assessor	Input into SIS	Previous assessments on IUCN RL site	Link to IUCN	Madagascar det slip print number
**D. oronjiae	DM_SP01	Links	Chlorocarpa	oronjiae	aff. lemurica N	Yes		D. oronjiae ined. (N. Wilding, pers. comm.)	in prep.	C/W/P	NW	OK 27/07/2021	LT	LT paper	llustration in prep	SF24684	NA	NA				22	RIR4014	45	RIR4014	Populations from the North previously treated as D. lemurica, differing from D.lemurica in shape of leaflets and fruits	SF 24695	Yes	No					LT PAPER	Crit. B						
**D. leandrii	DM_SP02	Links	incertae_sedis	leandrii	aff. lemurica Bemaraha	Yes		D. leandrii ined. (N. Wilding, pers. comm.)	in prep.	C/W/P	NW		LT	LT paper		Leandri ????	NA	NA				20	SAF0284	100	Hanitrarivo 310	Associated with lemurica, but with smaller, more numerous leaflets	RIR 3378, Leandri 2728	Yes	No				Done April fast [EN]	LT PAPER	Crit. B						
**D. rajeryi	DM_SP03	Links	Bemarivensis	rajeryi	aff. suaresensis Ankarana	Yes		D. rajeryi ined. (N. Wilding, pers. comm.)	in prep.	C/W/P	NW		LT	LT paper	llustration done	RIR3528	NA	NA				9	SH0666	25	SH0673	Similar to suaresensis but with smaller seeds		Yes	No				Done April fast [EN]	LT PAPER	Crit. B						
D. obtusa	DM_SP04	Links	Pervillei	obtusa		Yes	resurrected from synonymy with D. pervillei	D. obtusa Lecomte	published	C/W/P			LT			Richard 96	Needed				30	15	RIR4026	40, 41.4	RIR4026, Louvel 131	willowy leaves, retuse apex, distinct from both D. pervillei and D. abrahamii	Richard 96	Yes	No			"EN B1ab(i,ii,iii,iv,v)+2ab(i,ii,iii,iv,v)	
 
 
 "		Done	Crit. B		NW	Done			
D. greveana X purpurascens	DM_SP05	Links	Greveana	greveanaXpurpurascens	melanocarpa, aff._purpurascens_Ankarana	Hybrid	D. greveana x purpurascens (late-generation Fn hybrids)?	putative hybrid D. greveana Baill. x purpurascens Baill. (S. Crameri, pers. comm.)	-	C/W/P			LT	Hybridization paper			NA	NA				22	RIR3533	33.5	RIR3533	Foliage intermediate between D. greveana and D. purpurascens, in leaflet number, color and shape. Fruits become blackish when mature or dried. Probably derived from an ancient hybridization between D. greveana and D. purpurascens							NA	NA							
D. razakamalalae	DM_SP06	Links	Maritima	razakamalalae		Yes		D. razakamalalae Crameri, Phillipson & N. Wilding	published	C/W/P	SC		LT	Crameri et al. 2022	Accepted	ATH2455	NA			Ankarabolava		20	ATH2455	40	RZK8036	leaflets small to medium-sized, glabrous (vs. D. louvelii s.str.), often with retuse apex (vs. D. maritima and D. louvelii subsp. glabra), flowers large (vs. D. maritima).	RN 1689, SF 7110	Yes	No					Done							
D. pseudomaritima	DM_SP07	Links	Chapelieri	pseudomaritima		Yes		D. pseudomaritima Crameri, Phillipson & N. Wilding	published	C/W/P	SC		LT	Crameri et al. 2022	Accepted	RNH1190	NA					12	RZK7783	25	Rabenantoandro 1556	Small (vs. D. chapelieri s.lat.), glabrous leaflets with reticulate venation, inflorescences paniculate (vs. racemose inflorescences in D. maritima)	RNH 1190, Ramison 109, Ramananjanahary 830		No					Done							
**D. rakotovaoi	DM_SP08	Links	Arenosa	rakotovaoi	aff. neoperrieri	Yes		D. rakotovaoi ined. (P. B. Phillipson, pers. comm.)	in prep.	C/W/P	PBP		LT	LT paper	llustration done	CR6669	NA	PBP to complete				22	RIR3363	35	RZK8728	densely golden-pubescent leaflets that appear smaller than in D. neoperrieri		Yes	No				Done April fast [VU]	LT PAPER	Crit. B	reassess using A?					
**D. soafarae	DM_SP09	Links	Monticola	soafarae	aff. monticola SE	Yes		D. soafarae ined. (N. Wilding, pers. comm.)	in prep.	C/W/P	NW		LT	LT paper	llustration done	SFR0246	NA	NA				30	CR7619	65	CR7619	less revolute margins and less dense inflorescences compared to D. monticola		Yes	No					LT PAPER	Crit. B						
D. obcordata	DM_SP10	Links	Tricolor	obcordata		Yes		D. obcordata N. Wilding, Phillipson & Crameri	published	C/W/P	NW		ST	Wilding et al. 2021a		LG4567						6	LG4567	unknown	LG4567	pubescent shoots, petiolule and upper rachis, other than in D. glaberrima AND material with subcircular leaflets		Yes	No				Yes	Done	Crit. B		NW	Done			
D. antongilensis	DM_SP11	Links	Baronii	poolii	madagascariensis_antongilensis	No	D. poolii	D. poolii Baker	-	C/W/P	PBP		LT	Madagasc. note		SF22892		PBP to complete		Makirovana, Pointe à Larrée, Analalava (PBP)		30	RRN0051	67	NW0281	E Madagascar, coherent and genetically distinct from material from NW Madagascar. Is it perhaps D. madagascariensis subsp. antongilensis?		No													
D. cloiselii	DM_SP12	Links	Baronii	poolii	cloiselii	No	D. poolii	D. poolii Baker	Yes	C/W/P	PBP		LT			Cloisel 241						25	SAF0070	60	SAF0069	SE Madagascar, coherent and genetically distinct from material from NW Madagascar															
