SpecimenID	ID_Lab	Genus	Species	DM_SP	DGroup	data_UCE	data_wanatomy	data_NIRS_hw	data_NIRS_sw	data_NIRS_core_sw	data_NIRS_core_hw	data_NIRS_block_sw	data_NIRS_block_hw	data_massspec	silicagel_leaf	voucher_leaf	heartwood_souche_ETH	heartwood_tronc_ETH	heartwood_carotte_ETH	heartwood_ETH	Bloc_ESSA	Core_ESSA	Heartwood_ESSA	Sapwood_ESSA	Bio01_temp.annual	Bio02_temp.diurnal	Bio03_isothermality	Bio04_temp.seasonality	Bio05_temp.warmestM	Bio06_temp.coldestM	Bio07_temp.range	Bio08_temp.wettestQ	Bio09_temp.driestQ	Bio10_temp.warmestQ	Bio11_temp.coldestQ	Bio12_prec.annual	Bio13_prec.wettestM	Bio14_prec.driestM	Bio15_prec.seasonality	Bio16_prec.wettestQ	Bio17_prec.driestQ	Bio18_prec.warmestQ	Bio19_prec.coldestQ	elevation	geol	eco2017	imputed
3004360	ALH0285	Dalbergia	emirnensis	NA	incertae_sedis	NA	NA	0	0	NA	NA	NA	NA	NA	0	0	NA	NA	NA	0	NA	NA	NA	NA	180	88	556	2104	253	95	158	200	148	201	146	1484	356	4	107	1032	15	793	22	144540	4	Madagascar subhumid forests	FALSE
3264678	ALH0413	Dalbergia	louvelii	NA	Maritima	NA	NA	0	0	NA	NA	NA	NA	NA	0	0	NA	NA	NA	0	NA	NA	NA	NA	241	35	377	2126	285	191	94	264	230	267	210	2663	388	97	43	1138	291	1071	513	1422	18	Madagascar humid forests	FALSE
101003680	ALH0876	Dalbergia	aff._normandii_PAL	DM_SP54	Maritima	NA	NA	0	0	NA	NA	NA	NA	NA	0	0	NA	NA	NA	0	NA	NA	NA	NA	244	30	348	2027	287	200	87	267	232	269	215	3078	409	97	42	1198	298	1131	608	1789	18	Madagascar humid forests	FALSE
101004645	ALH0902	Dalbergia	aff._normandii_PAL	DM_SP54	Maritima	NA	NA	0	0	NA	NA	NA	NA	NA	0	0	NA	NA	NA	0	NA	NA	NA	NA	244	30	348	2026	287	200	87	267	232	269	215	3104	412	97	42	1208	300	1142	613	1861	18	Madagascar humid forests	FALSE
101012407	ALH1109	Dalbergia	aff._chapelieri_NE	NA	Chapelieri	NA	NA	0	0	NA	NA	NA	NA	NA	0	1	NA	NA	NA	0	NA	NA	NA	NA	244	30	345	2019	286	200	86	267	231	269	215	3233	431	101	42	1262	312	1189	638	3967	18	Madagascar humid forests	FALSE
101012409	ALH1110	Dalbergia	aff._normandii_PAL	DM_SP54	Maritima	NA	NA	0	0	NA	NA	NA	NA	NA	0	0	NA	NA	NA	0	NA	NA	NA	NA	244	30	345	2019	286	200	86	267	231	269	215	3233	431	101	42	1262	312	1189	638	3967	18	Madagascar humid forests	FALSE
101012416	ALH1114	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	NA	NA	0	0	NA	NA	NA	0	NA	NA	NA	NA	245	30	348	2029	287	200	87	268	232	270	215	3088	411	97	42	1203	298	1136	609	939	18	Madagascar humid forests	FALSE
101012417	ALH1115	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	NA	NA	0	0	NA	NA	NA	0	NA	NA	NA	NA	245	30	350	2033	287	200	87	268	232	270	215	3065	408	96	42	1193	297	1124	605	1079	18	Madagascar humid forests	FALSE
101012420	ALH1118	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	NA	NA	0	0	NA	NA	NA	0	NA	NA	NA	NA	244	30	349	2030	287	200	87	267	232	270	215	3124	416	98	42	1218	302	1149	617	968	18	Madagascar humid forests	FALSE
101012883	ALH1131	Dalbergia	baronii	NA	Baronii	NA	NA	0	0	NA	NA	NA	NA	NA	0	0	NA	NA	NA	0	NA	NA	NA	NA	244	30	349	2029	287	200	87	267	232	269	215	3059	406	96	42	1190	296	1124	604	1288	18	Madagascar humid forests	FALSE
101221773	ALH1143	Dalbergia	notseen_normandii	NA	Maritima	NA	NA	0	0	NA	NA	NA	NA	NA	0	0	NA	NA	NA	0	NA	NA	NA	NA	245	29	339	2005	287	202	85	268	233	270	216	3142	421	98	43	1234	300	1160	619	611	18	Madagascar humid forests	FALSE
101151632	ALH1144	Dalbergia	aff._normandii_PAL	DM_SP54	Maritima	NA	NA	0	0	NA	NA	NA	NA	NA	0	0	NA	NA	NA	0	NA	NA	NA	NA	244	30	349	2029	287	200	87	267	232	269	215	3062	407	96	42	1192	297	1125	605	1434	18	Madagascar humid forests	FALSE
101151752	ALH1145	Dalbergia	baronii	NA	Baronii	NA	NA	0	0	NA	NA	NA	NA	NA	0	0	NA	NA	NA	0	NA	NA	NA	NA	245	31	350	2034	287	200	87	267	232	270	215	3089	411	97	42	1201	300	1132	610	989	18	Madagascar humid forests	FALSE
101201199	ALH1146	Dalbergia	notseen_madagascariensis_antongilensis	NA	Baronii	NA	NA	0	0	NA	NA	NA	NA	NA	0	0	NA	NA	NA	0	NA	NA	NA	NA	245	27	329	1980	286	203	83	268	233	270	217	3145	422	98	43	1237	299	1168	613	1128	18	Madagascar humid forests	TRUE
101221774	ALH1147	Dalbergia	notseen_baronii	NA	Baronii	NA	NA	0	0	NA	NA	NA	NA	NA	0	0	NA	NA	NA	0	NA	NA	NA	NA	245	31	350	2034	287	200	87	267	232	270	215	3089	411	97	42	1201	300	1132	610	989	18	Madagascar humid forests	FALSE
101221778	ALH1149	Dalbergia	notseen_maritima	NA	Maritima	NA	NA	0	0	NA	NA	NA	NA	NA	0	0	NA	NA	NA	0	NA	NA	NA	NA	245	31	350	2034	287	200	87	267	232	270	215	3089	411	97	42	1201	300	1132	610	989	18	Madagascar humid forests	FALSE
101219159	ALH1156	Dalbergia	baronii	NA	Baronii	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	245	29	341	2012	287	201	86	268	232	270	216	3173	425	98	43	1248	302	1172	625	933	18	Madagascar humid forests	FALSE
101166484	ALR2400	Dalbergia	monticola	NA	Monticola	NA	NA	1	1	1	1	NA	NA	D2	1	0	NA	NA	1	1	0	1	1	1	185	72	515	2467	248	108	140	214	162	214	148	1840	323	41	70	959	138	959	182	92933	4	Madagascar humid forests	FALSE
101166485	ALR2401	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	0	0	1	0	1	185	72	515	2467	248	108	140	214	162	214	148	1840	323	41	70	959	138	959	182	92933	4	Madagascar humid forests	FALSE
101166486	ALR2402	Dalbergia	monticola	NA	Monticola	NA	NA	0	0	NA	NA	NA	NA	NA	1	0	NA	NA	NA	0	NA	NA	NA	NA	185	72	515	2467	249	109	140	214	163	214	148	1839	323	41	70	958	138	958	182	92800	4	Madagascar humid forests	FALSE
101166487	ALR2403	Dalbergia	aff._chapelieri_NE	DM_SP38	Chapelieri	NA	NA	0	0	NA	NA	NA	NA	D2	1	0	NA	NA	1	1	0	1	1	1	185	72	515	2466	248	108	140	214	162	214	148	1844	323	42	70	960	138	960	182	93219	4	Madagascar humid forests	FALSE
101166488	ALR2404	Dalbergia	monticola	NA	Monticola	NA	NA	0	0	NA	NA	NA	NA	NA	1	0	NA	NA	NA	0	NA	NA	NA	NA	184	72	516	2463	248	108	140	213	162	213	147	1855	324	42	70	965	139	965	182	93578	4	Madagascar humid forests	FALSE
101166489	ALR2405	Dalbergia	monticola	NA	Monticola	NA	NA	1	1	1	1	NA	NA	D2	1	0	NA	NA	1	1	0	1	1	1	184	72	516	2463	248	108	140	213	162	213	147	1855	324	42	70	965	139	965	182	93578	4	Madagascar humid forests	FALSE
101166491	ALR2406	Dalbergia	monticola	NA	Monticola	NA	NA	1	1	1	1	NA	NA	D2	1	0	NA	NA	1	1	0	1	1	1	183	72	517	2461	247	107	140	212	161	212	146	1859	325	42	70	966	138	966	182	95422	4	Madagascar humid forests	FALSE
101167665	ALR2407	Dalbergia	aff._chapelieri_S	DM_SP40	Chapelieri	NA	NA	0	0	NA	NA	NA	NA	NA	1	0	NA	NA	NA	0	NA	NA	NA	NA	200	72	508	2513	264	122	141	229	177	229	162	1472	276	33	70	794	110	794	157	66511	4	Madagascar humid forests	FALSE
101167666	ALR2408	Dalbergia	aff._chapelieri_S	DM_SP40	Chapelieri	N9	NA	1	1	1	1	NA	NA	D2	1	0	NA	NA	0	0	0	1	1	1	185	72	515	2466	248	108	140	214	162	214	148	1844	323	42	70	960	138	960	182	93219	4	Madagascar humid forests	FALSE
101167668	ALR2410	Dalbergia	orientalis	NA	Monticola	NA	NA	0	0	NA	NA	NA	NA	NA	1	0	NA	NA	NA	0	NA	NA	NA	NA	195	72	510	2500	259	118	141	224	173	224	157	1664	301	37	69	879	124	879	173	74268	4	Madagascar humid forests	FALSE
101167669	ALR2411	Dalbergia	orientalis	NA	Monticola	NA	NA	0	0	NA	NA	NA	NA	NA	1	0	NA	NA	NA	0	NA	NA	NA	NA	195	72	510	2500	259	118	141	224	173	224	157	1664	301	37	69	879	124	879	173	74268	4	Madagascar humid forests	FALSE
101169419	ALR2412	Dalbergia	orientalis	NA	Monticola	NA	NA	1	1	1	1	NA	NA	NA	1	0	NA	NA	0	0	0	1	1	1	200	72	508	2513	264	123	142	229	178	229	162	1543	283	35	69	822	115	822	162	66188	4	Madagascar humid forests	FALSE
101169420	ALR2415	Dalbergia	cloiselii	NA	Baronii	N9	NA	0	0	NA	NA	NA	NA	NA	1	0	NA	NA	0	0	0	1	0	1	206	70	502	2517	270	129	140	235	183	235	168	1736	294	43	65	871	145	871	192	60397	7	Madagascar humid forests	FALSE
101169424	ALR2420	Dalbergia	aff._chapelieri_Manombo	NA	Chapelieri	NA	NA	1	1	1	1	NA	NA	D2	1	0	NA	NA	0	0	0	1	1	1	238	36	381	2132	282	186	96	262	217	265	208	2172	312	66	44	904	220	846	327	821	9	Madagascar humid forests	FALSE
101169426	ALR2421	Dalbergia	baronii	NA	Baronii	NA	NA	0	1	1	0	NA	NA	D2	1	0	NA	NA	0.5	1	0	1	0	1	238	37	383	2138	282	186	96	262	217	265	208	2136	308	64	44	893	215	837	320	1152	9	Madagascar humid forests	FALSE
101169430	ALR2422	Dalbergia	baronii	NA	Baronii	NA	NA	0	0	NA	NA	NA	NA	NA	1	0	NA	NA	NA	0	NA	NA	NA	NA	238	37	383	2138	282	186	96	262	217	265	208	2136	308	64	44	893	215	837	320	1152	9	Madagascar humid forests	FALSE
101169482	ALR2424	Dalbergia	razakamalalae	DM_SP06	Maritima	NA	NA	0	0	NA	NA	NA	NA	NA	1	0	NA	NA	NA	0	NA	NA	NA	NA	237	36	379	2125	280	185	95	260	215	263	207	2405	349	70	45	1016	236	951	361	2629	7	Madagascar humid forests	FALSE
101169484	ALR2426	Dalbergia	aff._chapelieri_coriaceous_large	DM_SP39	Chapelieri	N10	NA	0	1	1	0	NA	NA	NA	1	1	NA	NA	0	0	0	1	0	1	236	36	381	2130	280	185	96	260	215	263	206	2385	346	69	45	1008	233	944	357	4922	7	Madagascar humid forests	FALSE
101169488	ALR2430	Dalbergia	aff._chapelieri_coriaceous_large	DM_SP39	Chapelieri	NA	NA	0	0	NA	NA	NA	NA	NA	1	0	NA	NA	NA	0	NA	NA	NA	NA	238	35	372	2111	281	187	94	261	216	264	208	2423	350	72	44	1013	244	942	370	2400	9	Madagascar humid forests	FALSE
