Code	SeniorCollector	SeniorCollector_nom	SeniorCollector_prenom	Code2	Comment
A	Acevedo-Rodríguez, Pedro	Acevedo-Rodríguez	Pedro	A	NA
AA	Adalardo de Oliveira, Alexandre	Adalardo de Oliveira	Alexandre	AA	NA
AAB	Alvarez, Aída B.	Alvarez	Aída B.	AAB	NA
AAC	Alleizette, Aymar Charles d'	Alleizette	Aymar Charles d'	AAC	NA
AAF	Andriamanantena, Flavien Antonio	Andriamanantena	Flavien Antonio	AAF	NA
AAL	Aké Assi, Laurent	Aké Assi	Laurent	AAL	NA
AAM	Araujo Murakami, Alejandro	Araujo Murakami	Alejandro	AAM	NA
AAMA	Amorim, *	Amorim	André Márcio A.	AAMA	NA
AAMA	Amorim, André Márcio A.	Amorim	André Márcio A.	AAMA	NA
AAP	Antezana Diaz, Ana Patricia	Antezana Diaz	Ana Patricia	AAP	NA
AAS	Altamirano Azurduy, Saúl	Altamirano Azurduy	Saúl	AAS	NA
AAT	Abbott, A. T. D.	Abbott	A. T. D.	AAT	NA
AB	Andrianaivoravelona, B.	Andrianaivoravelona	B.	AB	NA
ABW	Albuquerque, Byron Wilson Pereira de	Albuquerque	Byron Wilson Pereira de	ABW	NA
AC	Allen, Cyril	Allen	Cyril	AC	NA
ACD	Adams, Charles Dennis	Adams	Charles Dennis	ACD	NA
ACJ	Aronson, James C.	Aronson	James C.	ACJ	NA
AD	Andriamiharimanana, Donatien	Andriamiharimanana	Donatien	AD	NA
ADE	Atha, Daniel E.	Atha	Daniel E.	ADE	NA
ADF	Austin, Daniel Frank	Austin	Daniel Frank	ADF	NA
ADS	Araujo, Dorothy Sue Dunn de	Araujo	Dorothy Sue Dunn de	ADS	NA
AE	Asplund, Erik	Asplund	Erik	AE	NA
AF	Andriatsiferana, Félix	Andriatsiferana	Félix	AF	NA
AFF	Axelrod, Franklin (Frank) S.	Axelrod	Franklin (Frank) S.	AFF	NA
AFJ	Adamainty, Jean-Florent	Adamainty	Jean-Florent	AFJ	NA
AFM	Amsini, Fidèle M.	Amsini	Fidèle M.	AFM	NA
AFW	Westerhaus, Andoni F.	Westerhaus	Andoni F.	AFW	NA
AG	Grandidier, Alfred	Grandidier	Alfred	AG	NA
AGA	Aymard Corredor, Gerardo Antonio	Aymard Corredor	Gerardo Antonio	AGA	NA
AGUA	Aguayo, Antonio	Aguayo	Antonio	AGUA	NA
AH	Hladik, Annette	Hladik	Annette	AH	NA
AJC	Arias G., Juan Carlos	Arias G.	Juan Carlos	AJC	NA
AJL	Andriantiana, Jacky	Andriantiana	Jacky Lucien	AJL	NA
AJL	Andriantiana, Jacky Lucien	Andriantiana	Jacky Lucien	AJL	NA
AJP	Abraham, Jean Prosper	Abraham	Jean Prosper	AJP	NA
AJR	Abbott, John Richard	Abbott	John Richard	AJR	NA
AJT	Arnason, John Thor	Arnason	John Thor	AJT	NA
AK	Abdul-Salim, Kobinah	Abdul-Salim	Kobinah	AK	NA
AKR	Afzelius, Karl Rudolf	Afzelius	Karl Rudolf	AKR	NA
AL	Alencar, Lúcia	Alencar	Lúcia	AL	NA
ALA	Ambalabe, Shade House	Ambalabe	Shade House	ALA	NA
ALBO	Andriamaharoa, Hubert	Andriamaharoa	Hubert	ALBO	NA
ALC	Arroyo Padilla, Luzmila (Chiqui)	Arroyo Padilla	Luzmila (Chiqui)	ALC	NA
ALD	Andriamahefarivo, Lalao	Andriamahefarivo	Lalao	ALD	NA
ALG	Acosta Vargas, Luis Guillermo	Acosta Vargas	Luis Guillermo	ALG	NA
ALH	Lehavana, Adolphe	Lehavana	Adolphe	ALH	NA
ALJ	Asunción Leveau, José	Asunción Leveau	José	ALJ	NA
ALR	Andriamiarisoa, Lala Roger	Andriamiarisoa	Lala Roger	ALR	NA
ALV	Averyanov, Leonid Vladimirovich	Averyanov	Leonid Vladimirovich	ALV	NA
AM	Andrianarisata, Michèle	Andrianarisata	Michèle	AM	NA
AMA	Atalahy, Anselme	Atalahy	Anselme Marcel	AMA	NA
AMA	Atalahy, Anselme Marcel	Atalahy	Anselme Marcel	AMA	NA
AMB	Ambatovy, Shade House	Ambatovy	Shade House	AMB	NA
AMD	Álvarez M., Demetrio	Álvarez M.	Demetrio	AMD	NA
AME	Aulestia, Milton (Eduardo)	Aulestia	Milton (Eduardo)	AME	NA
AMG	Águilar M., Gabriel	Águilar M.	Gabriel	AMG	NA
AMI	Alvarado Flores, Miriam Icela	Alvarado Flores	Miriam Icela	AMI	NA
AMM	Andriamahay, M.	Andriamahay	M.	AMM	NA
AMR	Ramahefaharivelo, Ando Malala	Ramahefaharivelo	Ando Malala	AMR	NA
AMY	Ammann, Morgane Y.	Ammann	Morgane Y.	AMY	NA
ANAR	Randriamanantena, A.	Randriamanantena	A.	ANAR	NA
ANM	Andrianjafy, Naina Mamisoa	Andrianjafy	Naina Mamisoa	ANM	NA
ANS	Andriamiadana, Stéphano	Andriamiadana	Stéphano	ANS	NA
ANT	Antananarivo, Shade House	Antananarivo	Shade House	ANT	NA
AP	Antilahimena, Patrice	Antilahimena	Patrice	AP	NA
APH	Allen, Paul Hamilton	Allen	Paul Hamilton	APH	NA
AR	Razafintsalama, Annick	Razafintsalama	Annick	AR	NA
ARA	Aguilar Fernández, Reinaldo Alexis de Jesús	Aguilar Fernández	Reinaldo Alexis de Jesús	ARA	NA
ARD	Abdallah, Raphael D.	Abdallah	Raphael D.	ARD	NA
ARF	Andriamparany, Rivolala Fanomezantsoa	Andriamparany	Rivolala Fanomezantsoa	ARF	NA
ARH	Archer, Robert H.	Archer	Robert H.	ARH	NA
ARM	Aguilar R., M.	Aguilar R.	M.	ARM	NA
ARMM	Arbo, María Mercedes	Arbo	María Mercedes	ARMM	NA
ARVR	Arvigo, Rosita	Arvigo	Rosita	ARVR	NA
AS	Seyrig, André	Seyrig	André	AS	NA
ASH	Andriantsalohimisantatra, Andon'ny Avo Hermin Euléandrah	Andriantsalohimisantatra	Andon'ny Avo Hermin Euléandrah	ASH	NA
ASR	Andriambololonera, Sylvie	Andriambololonera	Sylvie Renée	ASR	NA
ASR	Andriambololonera, Sylvie Renée	Andriambololonera	Sylvie Renée	ASR	NA
AT	Abbott, Tony	Abbott	Tony	AT	NA
ATG	Arellano Torres, Gabriel	Arellano Torres	Gabriel	ATG	NA
ATH	Andriamihajarivo, Tefy Harison	Andriamihajarivo	Tefy Harison	ATH	NA
ATIL	ATILAHIMENA, *	ATILAHIMENA	NA	ATIL	NA
ATJ	Andonahary, Tahinarivony Jacquis	Andonahary	Tahinarivony Jacquis	ATJ	NA
ATJ	Tahinarivony, Andonahary Jacquis	Andonahary	Tahinarivony Jacquis	ATJ	NA
ATM	Antonio, Thomas M.	Antonio	Thomas M.	ATM	NA
ATR	Rabefarihy, Andriantsoa Tahiry	Rabefarihy	Andriantsoa Tahiry	ATR	NA
ATR	Rabefarihy, Tahiry A.	Rabefarihy	Andriantsoa Tahiry	ATR	NA
AW	Anderson, W.	Anderson	W.	AW	NA
AWB	Anderson, William (Bill) Russell	Anderson	William (Bill) Russell	AWB	NA
AWL	Applequist, Wendy	Applequist	Wendy Linn	AWL	NA
AWL	Applequist, Wendy Linn	Applequist	Wendy Linn	AWL	NA
AX	Aubriot, Xavier	Aubriot	Xavier	AX	NA
AYFF	Ayala Flores, Franklin	Ayala Flores	Franklin	AYFF	NA
AYMA	AYMARD, *	AYMARD	NA	AYMA	NA
AYS	Abeid, Yahya Shaaban	Abeid	Yahya Shaaban	AYS	NA
B	Bellefroid, Elke	Bellefroid	Elke	B	NA
BA	Boupoya, Archange	Boupoya	Archange	BA	NA
BAC	Bernier, Alphonse Charles Joseph	Bernier	Alphonse Charles Joseph	BAC	NA
BAD	Bell, Deborah A.	Bell	Deborah A.	BAD	NA
BAF	Bradley, Adam F.	Bradley	Adam F.	BAF	NA
BAL	Bernardi, Alessandro Luciano	Bernardi	Alessandro Luciano	BAL	NA
BAM	Brenes Mora, Alberto Manuel	Brenes Mora	Alberto Manuel	BAM	NA
BANM	Bang, Miguel	Bang	Miguel	BANM	NA
BBL	Boyle, Bradley Lorne	Boyle	Bradley Lorne	BBL	NA
BBM	Boom, Brian Morey	Boom	Brian Morey	BBM	NA
BC	Bodner, Connie Cox	Bodner	Connie Cox	BC	NA
BCA	Blanco, Carlos A.	Blanco	Carlos A.	BCA	NA
BCC	Baker, Charles (Carl) Fuller	Baker	Charles (Carl) Fuller	BCC	NA
BCK	Berg, Cornelis (Kees) Christiaan	Berg	Cornelis (Kees) Christiaan	BCK	NA
BCL	Bertero, Carlo Luigi Giuseppe	Bertero	Carlo Luigi Giuseppe	BCL	NA
BDE	Breedlove, Dennis E.	Breedlove	Dennis E.	BDE	NA
BDG	Burch, Derek George	Burch	Derek George	BDG	NA
BDR	Brunner, David Russell	Brunner	David Russell	BDR	NA
BE	Bello Carranza, Eric	Bello Carranza	Eric	BE	NA
BEAP	Beaujard, Philippe	Beaujard	Philippe	BEAP	NA
BEN	Rakotonirina, Benja	Rakotonirina	Benja	BEN	NA
BF	Biganzoli, Fernando	Biganzoli	Fernando	BF	NA
BFD	Barlow, F. D.	Barlow	F. D.	BFD	NA
BFF	Breteler, Franciscus ("Frans") Jozef (Joseph)	Breteler	Franciscus ("Frans") Jozef (Joseph)	BFF	NA
BFJ	Badré, Frederic Jean	Badré	Frederic Jean	BFJ	NA
BFL	Rakotozafy, B. F. L.	Rakotozafy	Brice Funk Lee	BFL	NA
BFL	Rakotozafy, Brice Funk Lee	Rakotozafy	Brice Funk Lee	BFL	NA
BG	Bacab W., Gilberto	Bacab W.	Gilberto	BG	NA
BGL	Bates, George L.	Bates	George L.	BGL	NA
BGS	Bidgood, Gillian Sally	Bidgood	Gillian Sally	BGS	NA
BGW	Barclay, George W.	Barclay	George W.	BGW	NA
BH	Balslev, Henrik	Balslev	Henrik	BH	NA
BHE	Box, Harold Edmund	Box	Harold Edmund	BHE	NA
BHL	Bemita, Harson Landry	Bemita	Landry Harison	BHL	NA
BHL	Bemita, Landry Harison	Bemita	Landry Harison	BHL	NA
BHV	Behevitra, Laurent	Behevitra	Laurent	BHV	NA
BI	Basualdo, Isabel	Basualdo	Isabel	BI	NA
BILF	Billiet, Frieda	Billiet	Frieda	BILF	NA
BJ	Berhaut, Jean	Berhaut	Jean	BJ	NA
BJC	Bradford, Jason C.	Bradford	Jason Christopher	BJC	NA
BJC	Bradford, Jason Christopher	Bradford	Jason Christopher	BJC	NA
BJD	Bruijn, J. de	Bruijn	J. de	BJD	NA
BJL	Brown, John L.	Brown	John L.	BJL	NA
BJM	Bosser, Jean Marie	Bosser	Jean Marie	BJM	NA
BJS	Blanchet, Jacques Samuel	Blanchet	Jacques Samuel	BJS	NA
BJT	Be, Jullet	Be	Jullet R.	BJT	NA
BJT	Be, Jullet R.	Be	Jullet R.	BJT	NA
BK	Koechlin, Bernard	Koechlin	Bernard	BK	NA
BKA	Barringer, Kerry Alan	Barringer	Kerry Alan	BKA	NA
BKS	Bawa, Kamaljit Singh	Bawa	Kamaljit Singh	BKS	NA
BL	Lewis, Beverley	Lewis	Beverley Ann	BL	NA
BL	Lewis, Beverley Ann	Lewis	Beverley Ann	BL	NA
BLAL	Blandón, Lenner	Blandón	Lenner	BLAL	NA
BLC	Barnett, Lisa Ceryle	Barnett	Lisa Ceryle	BLC	NA
BLH	Boivin, Louis Hyacinthe	Boivin	Louis Hyacinthe	BLH	NA
BM	Randriambololona, Michel Bien-Aimé	Randriambololona	Michel Bien-Aimé	BM	NA
BMC	Beza Mahafaly Collection Team	Beza Mahafaly Collection Team	NA	BMC	NA
BMG	Bingham, Michael Graham	Bingham	Michael Graham	BMG	NA
BMJ	Balick, Michael Jeffrey	Balick	Michael Jeffrey	BMJ	NA
BN	BAHIA, *	BAHIA	NA	BN	NA
BNL	Britton, Nathaniel Lord	Britton	Nathaniel Lord	BNL	NA
BNV	Brokaw, Nick V. L.	Brokaw	Nick V. L.	BNV	NA
BOB	Berlin, Overton Brent	Berlin	Overton Brent	BOB	NA
BONJ	Bono, José	Bono	José	BONJ	NA
BP	Barberá, Patricia	Barberá	Patricia	BP	NA
BPC	Busey, Philip C.	Busey	Philip C.	BPC	NA
BPE	Berry, Paul	Berry	Paul E.	BPE	NA
BPE	Berry, Paul E.	Berry	Paul E.	BPE	NA
BPJ	Barbour, Philip J.	Barbour	Philip J.	BPJ	NA
